Title,Year,Type_Long,Type,Link,En_mi_web,title_clean
"Boletín Enlaces N° 13. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Febrero 2008",2008,Newsletter,Popular science articles,,,"boletín enlaces n° 13. newsletter informativo proyecto estructurante del sicyc. bellini saibene, y. zubillaja, j., franco, l., lucchetti, p., godoy, s., chavero, a., cáceres, a, nani, l. febrero 2008"
"Boletín Enlaces N° 14. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Marzo 208",2008,Newsletter,Popular science articles,,,"boletín enlaces n° 14. newsletter informativo proyecto estructurante del sicyc. bellini saibene, y. zubillaja, j., franco, l., lucchetti, p., godoy, s., chavero, a., cáceres, a, nani, l. marzo 208"
"Boletín Enlaces N° 15. Newsletter informativo Proyecto Estructurante del SICyC. Bellini Saibene, Y. Zubillaja, J., Franco, L., Lucchetti, P., Godoy, S., Chavero, A., Cáceres, A, Nani, L. Abril 2008",2008,Newsletter,Popular science articles,,,"boletín enlaces n° 15. newsletter informativo proyecto estructurante del sicyc. bellini saibene, y. zubillaja, j., franco, l., lucchetti, p., godoy, s., chavero, a., cáceres, a, nani, l. abril 2008"
Boletín RIAN La Pampa - San Luis - Agosto 2008- Nro 53,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2008-53,,boletín rian la pampa - san luis - agosto 2008- nro 53
Boletín RIAN La Pampa - San Luis - Diciembre 2007 - Enero 2008- Nro 46,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-diciembre-2007-enero-2008-nro-46,,boletín rian la pampa - san luis - diciembre 2007 - enero 2008- nro 46
Boletín RIAN La Pampa - San Luis - Enero 2008- Nro 45,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-enero-2008-45,,boletín rian la pampa - san luis - enero 2008- nro 45
Boletín RIAN La Pampa - San Luis - Junio-Julio 2008- Nro 50,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-junio-julio-2008-50,,boletín rian la pampa - san luis - junio-julio 2008- nro 50
Boletín RIAN La Pampa - San Luis - Marzo-Abril 2008- Nro 48,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-marzo-abril-2008-48,,boletín rian la pampa - san luis - marzo-abril 2008- nro 48
Boletín RIAN La Pampa - San Luis - Mayo 2008- Nro 49,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-mayo-2008-49,,boletín rian la pampa - san luis - mayo 2008- nro 49
Boletín RIAN La Pampa - San Luis - Noviembre 2008- Nro 58,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2008-nro-58,,boletín rian la pampa - san luis - noviembre 2008- nro 58
Boletín RIAN La Pampa - San Luis - Octubre 2008 - Nro 56,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Octubre-2008-56,,boletín rian la pampa - san luis - octubre 2008 - nro 56
Boletín RIAN La Pampa - San Luis - Septiembre - Octubre 2008- Nro 57,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-septiembre-octubre-2008-57,,boletín rian la pampa - san luis - septiembre - octubre 2008- nro 57
Boletín RIAN La Pampa - San Luis - Septiembre 2008 - Nro 51,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Septiembre-2008-51,,boletín rian la pampa - san luis - septiembre 2008 - nro 51
Boletín RIAN La Pampa - San Luis - Septiembre 2008 - Nro 52,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Septiembre-2008-52,,boletín rian la pampa - san luis - septiembre 2008 - nro 52
Boletín RIAN La Pampa - San Luis - Septiembre 2008 - Nro 54,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Septiembre-2008-54,,boletín rian la pampa - san luis - septiembre 2008 - nro 54
Boletín RIAN La Pampa - San Luis - Septiembre 2008 - Nro 55,2008,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-Septiembre-2008-55,,boletín rian la pampa - san luis - septiembre 2008 - nro 55
"Catálogo de datos Geoespaciales del Instituto Nacional de Tecnología Agropecuaria. Ramos, L.; Mercuri, P.; Bellini Saibene, Y.; Pizarro, M. J. Anales de la 37 JAIIO – JII – AgroInformática – Cadenas de abastecimiento. 8 a 12 de Octubre de 2008. ISSN: 1850-2849.",2008,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/catalogo-de-datos-geoespaciales-del-instituto-nacional-de-tecnologia-agropecuaria,,"catálogo de datos geoespaciales del instituto nacional de tecnología agropecuaria. ramos, l.; mercuri, p.; bellini saibene, y.; pizarro, m. j. anales de la 37 jaiio – jii – agroinformática – cadenas de abastecimiento. 8 a 12 de octubre de 2008. issn: 1850-2849."
"Desarrollo de un Sistema de Gestión Apícola. Bellini Saibene, Yanina; Caldera, Juan Marcelo; Balbarrey, Germán; Lucchetti, Pablo; Caldentey, Laura; Ferreyra, Carlos; Garro, Ricardo. Anales de la 37 JAIIO – JII – AgroInformática – Cadenas de abastecimiento. 8 a 12 de Octubre de 2008. ISSN: 1850-2849.",2008,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/node/361,,"desarrollo de un sistema de gestión apícola. bellini saibene, yanina; caldera, juan marcelo; balbarrey, germán; lucchetti, pablo; caldentey, laura; ferreyra, carlos; garro, ricardo. anales de la 37 jaiio – jii – agroinformática – cadenas de abastecimiento. 8 a 12 de octubre de 2008. issn: 1850-2849."
"Descripción de las zonas y subzonas agroecológicas RIAP. Área de Influencia de la EEA Anguil. Lorda, H.; Roberto Z.; Bellini Saibene, Y.; Sipowicz, A.; Belmonte M.L. Boletín de Divulgación Técnica Nº 96. ISSN: 0325-2167. Octubre 2008 - Ediciones INTA",2008,Journals,Journals,https://inta.gob.ar/documentos/descripcion-de-las-zonas-y-subzonas-agroecologicas-riap-area-de-influencia-de-la-eea-anguil,,"descripción de las zonas y subzonas agroecológicas riap. área de influencia de la eea anguil. lorda, h.; roberto z.; bellini saibene, y.; sipowicz, a.; belmonte m.l. boletín de divulgación técnica nº 96. issn: 0325-2167. octubre 2008 - ediciones inta"
"Hacia una Biblioteca Digital Agropecuaria. Fernandez, D; Bellini Saibene, Y.; Ferreyra, C; Ayala, A; Caldera, J. Anales de la 37 JAIIO – JII – AgroInformática – Cadenas de abastecimiento. 8 a 12 de Octubre de 2008. ISSN: 1850-2849.",2008,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/hacia-una-biblioteca-digital-agropecuaria,,"hacia una biblioteca digital agropecuaria. fernandez, d; bellini saibene, y.; ferreyra, c; ayala, a; caldera, j. anales de la 37 jaiio – jii – agroinformática – cadenas de abastecimiento. 8 a 12 de octubre de 2008. issn: 1850-2849."
"Red de Estaciones Meterológicas Automáticas de la Estación Experimental Agropecuaria Anguil, La Pampa. Bellini Saibene, Y.; Fernandez, D.; Casagrande G.; Lucchetti, P. Anales de la 37 JAIIO – JII – AgroInformática – Cadenas de abastecimiento. 8 a 12 de Octubre de 2008. ISSN: 1850-2849.",2008,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/red-de-estaciones-meterologicas-automaticas-de-la-estacion-experimental-agropecuaria-anguil-la-pampa,,"red de estaciones meterológicas automáticas de la estación experimental agropecuaria anguil, la pampa. bellini saibene, y.; fernandez, d.; casagrande g.; lucchetti, p. anales de la 37 jaiio – jii – agroinformática – cadenas de abastecimiento. 8 a 12 de octubre de 2008. issn: 1850-2849."
"Red Termopluviométrica de la Red de Información Agropecuaria Pampeana. Bellini Saibene, Y.; Schaab, L.; Ramos, L.; Fernandez, D.; Casagrande, G.; Lucchetti, P; Lemes, D. Anales de la 37 JAIIO – JII – AgroInformática – Cadenas de abastecimiento. 8 a 12 de Octubre de 2008. ISSN: 1850-2849.",2008,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/red-termopluviometrica-de-la-red-de-informacion-agropecuaria-pampeana-0,,"red termopluviométrica de la red de información agropecuaria pampeana. bellini saibene, y.; schaab, l.; ramos, l.; fernandez, d.; casagrande, g.; lucchetti, p; lemes, d. anales de la 37 jaiio – jii – agroinformática – cadenas de abastecimiento. 8 a 12 de octubre de 2008. issn: 1850-2849."
"Relevamiento de malezas en cultivos de girasol de la provincia de La Pampa y zonas limítrofes. Montoya, J.C.; Berhongaray, G.; Pérez, A.; Títolo, D.; Troiani, H.; Roberto, Z.; Ramos, L.; Bellini Saibene. Boletín de Divulgación Técnica Nº 93. ISSN: 0325-2167. Noviembre 2008- Ediciones INTA.",2008,Journals,Journals,https://inta.gob.ar/documentos/relevamiento-de-malezas-en-cultivos-de-girasol-de-la-provincia-de-la-pampa-y-zonas-limitrofes,,"relevamiento de malezas en cultivos de girasol de la provincia de la pampa y zonas limítrofes. montoya, j.c.; berhongaray, g.; pérez, a.; títolo, d.; troiani, h.; roberto, z.; ramos, l.; bellini saibene. boletín de divulgación técnica nº 93. issn: 0325-2167. noviembre 2008- ediciones inta."
"Sistema de Información “Informe Agronómico Mensual. Bellini Saibene, Y.; Schaab, L.; Ramos, L.; Fernandez, D.; Caldera, J.; Lucchetti, P; Lorda, H; Lemes, D. Anales de la 37 JAIIO – JII – AgroInformática – Cadenas de abastecimiento. 8 a 12 de Octubre de 2008. ISSN: 1850-2849.",2008,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/sistema-de-informacion-informe-agronomico-mensual,,"sistema de información “informe agronómico mensual. bellini saibene, y.; schaab, l.; ramos, l.; fernandez, d.; caldera, j.; lucchetti, p; lorda, h; lemes, d. anales de la 37 jaiio – jii – agroinformática – cadenas de abastecimiento. 8 a 12 de octubre de 2008. issn: 1850-2849."
"Un Sistema de Información para el Inventario de Malezas en Girasol en la Provincia de La Pampa. Bellini Saibene, Y.; Ramos, L.; Montoya, J.C; Roberto, Z.; Titolo, D.; Berhongaray, G; Perez, A. Anales de la 37 JAIIO – JII – AgroInformática – Cadenas de abastecimiento. 8 a 12 de Octubre de 2008. ISSN: 1850-2849.",2008,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/node/1304,,"un sistema de información para el inventario de malezas en girasol en la provincia de la pampa. bellini saibene, y.; ramos, l.; montoya, j.c; roberto, z.; titolo, d.; berhongaray, g; perez, a. anales de la 37 jaiio – jii – agroinformática – cadenas de abastecimiento. 8 a 12 de octubre de 2008. issn: 1850-2849."
"“Sistema móvil para carga de datos del informe agronómico mensual del RIAN.” Herrera Germán, Escobar Guillermo, Schaab Lucas, Ramos Lucas, Bellini Saibene Yanina. Anales del Congreso Argentino de AgroInformática 2009. ISSN: 1852-4850. Editor: SADIO. 24 y 25 de Agosto de 2009. Mar del Plata.",2009,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/sistema-movil-para-carga-de-datos-del-informe-agronomico-mensual-del-rian,,"“sistema móvil para carga de datos del informe agronómico mensual del rian.” herrera germán, escobar guillermo, schaab lucas, ramos lucas, bellini saibene yanina. anales del congreso argentino de agroinformática 2009. issn: 1852-4850. editor: sadio. 24 y 25 de agosto de 2009. mar del plata."
"Alarmas Agropecuarias a Teléfonos Celulares. Bellini Saibene, Yanina; Suarez, Armando; Schaab, Lucas; Figueruelo Andrea. Anales del Congreso Argentino de AgroInformática 2009. ISSN: 1852-4850. 24 y 25 de Agosto de 2009. Mar del Plata.",2009,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,,"alarmas agropecuarias a teléfonos celulares. bellini saibene, yanina; suarez, armando; schaab, lucas; figueruelo andrea. anales del congreso argentino de agroinformática 2009. issn: 1852-4850. 24 y 25 de agosto de 2009. mar del plata."
Algodón. Manual de Campo,2009,Colaboración,Book Chapters,https://inta.gob.ar/documentos/algodon-manual-de-campo,,algodón. manual de campo
Boletín RIAN La Pampa - San Luis - Abril 2009- Nro 64,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-abril-2009-64,,boletín rian la pampa - san luis - abril 2009- nro 64
Boletín RIAN La Pampa - San Luis - Agosto 2009- Nro 67,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2009-67,,boletín rian la pampa - san luis - agosto 2009- nro 67
Boletín RIAN La Pampa - San Luis - Agosto-Septiembre 2009- Nro 69,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-septiembre-2009-nro-69,,boletín rian la pampa - san luis - agosto-septiembre 2009- nro 69
Boletín RIAN La Pampa - San Luis - Diciembre 2008- Nro 59,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-diciembre-2008-nro-59,,boletín rian la pampa - san luis - diciembre 2008- nro 59
Boletín RIAN La Pampa - San Luis - Enero-Febrero 2009- Nro 60,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-enero-febrero-2009-nro-60,,boletín rian la pampa - san luis - enero-febrero 2009- nro 60
Boletín RIAN La Pampa - San Luis - Febrero 2009- Nro 61,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-febrero-2009-nro-61,,boletín rian la pampa - san luis - febrero 2009- nro 61
Boletín RIAN La Pampa - San Luis - Julio 2009- Nro 66,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-julio-2009-66,,boletín rian la pampa - san luis - julio 2009- nro 66
Boletín RIAN La Pampa - San Luis - Julio-Agosto 2009- Nro 68,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/copy_of_boletin-rian-la-pampa-san-luis-julio-agosto-2009-68,,boletín rian la pampa - san luis - julio-agosto 2009- nro 68
Boletín RIAN La Pampa - San Luis - Junio-Julio 2009- Nro 65,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-junio-julio-2009-65,,boletín rian la pampa - san luis - junio-julio 2009- nro 65
Boletín RIAN La Pampa - San Luis - Marzo 2009- Nro 62,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-marzo-2009-nro-62,,boletín rian la pampa - san luis - marzo 2009- nro 62
Boletín RIAN La Pampa - San Luis - Marzo 2009- Nro 63,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-marzo-2009-nro-63,,boletín rian la pampa - san luis - marzo 2009- nro 63
Boletín RIAN La Pampa - San Luis - Noviembre 2009- Nro 72,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2009-72,,boletín rian la pampa - san luis - noviembre 2009- nro 72
Boletín RIAN La Pampa - San Luis - Octubre 2009- Nro 71,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-octubre-2009-71,,boletín rian la pampa - san luis - octubre 2009- nro 71
Boletín RIAN La Pampa - San Luis - Septiembre 2009- Nro 70,2009,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-septiembre-2009-70,,boletín rian la pampa - san luis - septiembre 2009- nro 70
"Profesionales venezolanos en Anguil. En Nuevo ABC Rural. Septiembre 2009. Nº13. Año VIII, Nº 97. Pág. 58. Belmonte, ML, Bellini, Y",2009,Popular science articles,Popular science articles,,,"profesionales venezolanos en anguil. en nuevo abc rural. septiembre 2009. nº13. año viii, nº 97. pág. 58. belmonte, ml, bellini, y"
"Se mejoran los controles de las plagas. Ing. Agr. Armando Suarez, Ing. Agr. Andrea Figuerelo, Lic. Yanina Bellini Saibene. Horizonte Agropecuario Nº 81. Marzo 2009. ISSN: 0327-3180.",2009,Popular science articles,Popular science articles,,,"se mejoran los controles de las plagas. ing. agr. armando suarez, ing. agr. andrea figuerelo, lic. yanina bellini saibene. horizonte agropecuario nº 81. marzo 2009. issn: 0327-3180."
"Segunda Capacitación Internacional de la RIAN. Lic. Yanina Bellini Saibene, Ings. Agrs. Laura Belmonte, Héctor Lorda. Horizonte Agropecuario Nº 83. Septiembre 2009. ISSN: 0327-3180.",2009,Popular science articles,Popular science articles,,,"segunda capacitación internacional de la rian. lic. yanina bellini saibene, ings. agrs. laura belmonte, héctor lorda. horizonte agropecuario nº 83. septiembre 2009. issn: 0327-3180."
"Alarmas Agropecuarias a Teléfonos Celulares. Bellini Saibene Yanina, Suarez Armando, Schaab Lucas, Figueruelo Andrea. 4to Simposio de Informática en el Estado. ISSN: 1851-2526. 30 de Agosto al 3 de Septiembre de 2010.",2010,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/alarmas-agropecuarias-a-telefonos-celulares,,"alarmas agropecuarias a teléfonos celulares. bellini saibene yanina, suarez armando, schaab lucas, figueruelo andrea. 4to simposio de informática en el estado. issn: 1851-2526. 30 de agosto al 3 de septiembre de 2010."
Boletín RIAN La Pampa - San Luis - Agosto 2010- Nro 78,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2010-78,,boletín rian la pampa - san luis - agosto 2010- nro 78
Boletín RIAN La Pampa - San Luis - Agosto 2010- Nro 79,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2010-79,,boletín rian la pampa - san luis - agosto 2010- nro 79
Boletín RIAN La Pampa - San Luis - Diciembre 2009- Nro 73,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-diciembre-2009-73,,boletín rian la pampa - san luis - diciembre 2009- nro 73
Boletín RIAN La Pampa - San Luis - Enero 2010- Nro 74,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-enero-2010-74,,boletín rian la pampa - san luis - enero 2010- nro 74
Boletín RIAN La Pampa - San Luis - Febrero 2010- Nro 75,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-febrero-2010-75,,boletín rian la pampa - san luis - febrero 2010- nro 75
Boletín RIAN La Pampa - San Luis - Junio-Julio 2010- Nro 77,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-junio-julio-2010-77,,boletín rian la pampa - san luis - junio-julio 2010- nro 77
Boletín RIAN La Pampa - San Luis - Mayo-Junio 2010- Nro 76,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-mayo-junio-2010-76,,boletín rian la pampa - san luis - mayo-junio 2010- nro 76
Boletín RIAN La Pampa - San Luis - Noviembre-Diciembre 2010- Nro 82,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-diciembre-2010-nro-82,,boletín rian la pampa - san luis - noviembre-diciembre 2010- nro 82
Boletín RIAN La Pampa - San Luis - Octubre 2010- Nro 81,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-octubre-2010-nro-81,,boletín rian la pampa - san luis - octubre 2010- nro 81
Boletín RIAN La Pampa - San Luis - Septiembre 2010- Nro 80,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/copy_of_boletin-rian-la-pampa-san-luis-septiembre-2010-80,,boletín rian la pampa - san luis - septiembre 2010- nro 80
"Caracterización tecnológica y productiva de trigo para La Pampa y San Luis. Belmonte, ML, Fuentes, ME, Bellini,Y. Horizonte Agropecuario Nº 85. Abril 2010. ISSN: 0327-3180. Ediciones INTA.",2010,Popular science articles,Popular science articles,,,"caracterización tecnológica y productiva de trigo para la pampa y san luis. belmonte, ml, fuentes, me, bellini,y. horizonte agropecuario nº 85. abril 2010. issn: 0327-3180. ediciones inta."
"Información para la gestión del sistema de transferencia y extensión del INTA. Bellini Saibene, Yanina; Malvido, Agustina; Caldera, Juan. 4to Simposio de Informática en el Estado (SIE). ISSN: 1851-2526. 30 de Agosto al 3 de Septiembre de 2010.",2010,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,,"información para la gestión del sistema de transferencia y extensión del inta. bellini saibene, yanina; malvido, agustina; caldera, juan. 4to simposio de informática en el estado (sie). issn: 1851-2526. 30 de agosto al 3 de septiembre de 2010."
Radar meteorológico en la EEA Anguil,2010,Articulo de Divulgación,Popular science articles,https://inta.gob.ar/documentos/radar-meteorologico-en-la-eea-anguil,,radar meteorológico en la eea anguil
"RADAR Meteorológico en la EEA Anguil. Lic. Yanina Bellini Saibene, Ing. Agr. Guillermo Casagrande. Horizonte Agropecuario Nº 85. Abril 2010. ISSN: 0327-3180. Ediciones INTA.",2010,Popular science articles,Popular science articles,,,"radar meteorológico en la eea anguil. lic. yanina bellini saibene, ing. agr. guillermo casagrande. horizonte agropecuario nº 85. abril 2010. issn: 0327-3180. ediciones inta."
"Sistema de Información “Informe de Estado Hídrico de Suelos”. Bellini Saibene, Y.; Schaab, L.; Ramos, L.; Fuentes M.; Belmonte L. Segundo Congreso Argentino de Agro informática. ISSN: 1852-4850. Editor: SADIO. 30 de Agosto al 3 de Septiembre de 2010.",2010,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,,"sistema de información “informe de estado hídrico de suelos”. bellini saibene, y.; schaab, l.; ramos, l.; fuentes m.; belmonte l. segundo congreso argentino de agro informática. issn: 1852-4850. editor: sadio. 30 de agosto al 3 de septiembre de 2010."
Anuario RIAN-RIAP 2005-2006. Bellini Saibene Yanina; Schaab Lucas; Lucas Ramos; Belmonte Laura; Fuentes María Elena. Boletín de Divulgación Técnica Nº 101. Febrero 2011. ISSN 0325-2167. Ediciones INTA.,2011,Journals,Journals,,,anuario rian-riap 2005-2006. bellini saibene yanina; schaab lucas; lucas ramos; belmonte laura; fuentes maría elena. boletín de divulgación técnica nº 101. febrero 2011. issn 0325-2167. ediciones inta.
Anuario RIAN-RIAP 2006-2007. Bellini Saibene Yanina; Schaab Lucas; Lucas Ramos; Belmonte Laura; Fuentes María Elena. Boletín de Divulgación Técnica Nº 102. Febrero 2011. ISSN 0325-2167. Ediciones INTA.,2011,Journals,Journals,https://inta.gob.ar/documentos/anuario-rian-riap-2006-2007,,anuario rian-riap 2006-2007. bellini saibene yanina; schaab lucas; lucas ramos; belmonte laura; fuentes maría elena. boletín de divulgación técnica nº 102. febrero 2011. issn 0325-2167. ediciones inta.
Anuario RIAN-RIAP 2007-2008. Bellini Saibene Yanina; Schaab Lucas; Lucas Ramos; Belmonte Laura; Fuentes María Elena. Boletín de Divulgación Técnica Nº 103. Marzo 2011. ISSN 0325-2167. Ediciones INTA.,2011,Journals,Journals,https://inta.gob.ar/documentos/sistema-multimedial-anuario-rian-2007-2008,,anuario rian-riap 2007-2008. bellini saibene yanina; schaab lucas; lucas ramos; belmonte laura; fuentes maría elena. boletín de divulgación técnica nº 103. marzo 2011. issn 0325-2167. ediciones inta.
Anuario RIAN-RIAP 2008-2009. Bellini Saibene Yanina; Schaab Lucas; Lucas Ramos; Belmonte Laura; Fuentes María Elena. Boletín de Divulgación Técnica Nº 104. Junio 2011. ISSN 0325-2167. Ediciones INTA.,2011,Journals,Journals,https://inta.gob.ar/documentos/anuario-rian-riap-2008-2009,,anuario rian-riap 2008-2009. bellini saibene yanina; schaab lucas; lucas ramos; belmonte laura; fuentes maría elena. boletín de divulgación técnica nº 104. junio 2011. issn 0325-2167. ediciones inta.
Anuario RIAN-RIAP 2009-2010. Bellini Saibene Yanina; Schaab Lucas; Lucas Ramos; Belmonte Laura; Fuentes María Elena. Boletín de Divulgación Técnica Nº 105. Octubre 2011. ISSN 0325-2167. Ediciones INTA.,2011,Journals,Journals,https://inta.gob.ar/documentos/anuario-rian-riap-2009-2010,,anuario rian-riap 2009-2010. bellini saibene yanina; schaab lucas; lucas ramos; belmonte laura; fuentes maría elena. boletín de divulgación técnica nº 105. octubre 2011. issn 0325-2167. ediciones inta.
Boletín RIAN La Pampa - San Luis - Agosto 2011- Nro 86,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2011-nro-86,,boletín rian la pampa - san luis - agosto 2011- nro 86
Boletín RIAN La Pampa - San Luis - Diciembre 2010-Enero 2011- Nro 83,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-diciembre-2010-enero-2011-nro-83,,boletín rian la pampa - san luis - diciembre 2010-enero 2011- nro 83
Boletín RIAN La Pampa - San Luis - Julio 2011- Nro 85,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-julio-2011-nro-85,,boletín rian la pampa - san luis - julio 2011- nro 85
Boletín RIAN La Pampa - San Luis - Junio 2011- Nro 84,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-junio-2011-nro-84,,boletín rian la pampa - san luis - junio 2011- nro 84
Boletín RIAN La Pampa - San Luis - Noviembre 2011- Nro 89,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2011-nro-89,,boletín rian la pampa - san luis - noviembre 2011- nro 89
Boletín RIAN La Pampa - San Luis - Octubre 2011- Nro 88,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-octubre-2011-nro-88,,boletín rian la pampa - san luis - octubre 2011- nro 88
Boletín RIAN La Pampa - San Luis - Septiembre 2011- Nro 87,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-septiembre-2011-nro-87,,boletín rian la pampa - san luis - septiembre 2011- nro 87
"Caracterización económica-productiva de los sistemas productivos preponderantes de la provincia de La Pampa, Argentina. Iturrioz Gabriela, Lorda Héctor, Bellini Saibene Yanina, Torrado Roberto, Taié Armando, Caldera Juan. III CONGRESO REGIONAL DE ECONOMIA AGRARIA. Valdivia, Chile. 9 al 11 de noviembre de 2011.",2011,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,,,"caracterización económica-productiva de los sistemas productivos preponderantes de la provincia de la pampa, argentina. iturrioz gabriela, lorda héctor, bellini saibene yanina, torrado roberto, taié armando, caldera juan. iii congreso regional de economia agraria. valdivia, chile. 9 al 11 de noviembre de 2011."
Desarrollo de un sistema de gestión apícola,2011,Tesis,Book,https://inta.gob.ar/documentos/desarrollo-de-un-sistema-de-gestion-apicola,,desarrollo de un sistema de gestión apícola
